Temperature,Humidity,Soil_pH,Rainfall,Plant_Name
26.2,64.3,6.7,150.5,Tomato
24.4,63.8,7.0,135.3,Tomato
23.8,67.7,6.4,110.7,Tomato
25.6,55.4,6.0,108.8,Tomato
22.5,66.6,6.2,91.8,Tomato
28.7,63.9,6.5,91.5,Tomato
23.6,65.6,6.2,127.5,Tomato
23.5,63.5,6.3,157.0,Tomato
25.0,59.7,6.7,95.6,Tomato
25.5,55.2,6.1,123.9,Tomato
26.8,65.9,6.5,114.0,Tomato
21.3,61.4,6.4,141.1,Tomato
25.9,56.2,6.6,112.3,Tomato
23.3,68.1,6.8,138.6,Tomato
22.9,63.5,6.6,139.5,Tomato
23.8,64.1,6.2,96.1,Tomato
27.0,71.8,6.5,140.1,Tomato
25.9,61.8,6.6,150.8,Tomato
24.9,72.8,5.7,136.4,Tomato
25.2,63.5,6.5,80.2,Tomato
24.5,66.8,6.9,109.6,Tomato
23.0,62.5,6.8,126.6,Tomato
23.7,67.6,6.5,139.4,Tomato
23.2,63.4,6.4,90.7,Tomato
25.7,66.3,6.5,115.3,Tomato
21.5,62.9,6.4,104.0,Tomato
24.6,67.0,7.1,123.5,Tomato
25.6,64.6,5.9,119.5,Tomato
25.2,77.3,6.4,126.0,Tomato
24.9,59.2,6.8,135.0,Tomato
27.0,60.5,6.9,92.0,Tomato
26.5,76.0,6.2,108.7,Tomato
25.2,62.5,6.0,121.4,Tomato
22.3,67.4,6.2,151.0,Tomato
23.0,63.4,6.7,95.4,Tomato
25.6,71.5,6.0,123.7,Tomato
25.6,68.9,6.1,93.6,Tomato
26.3,66.5,6.6,126.9,Tomato
23.3,66.2,6.6,105.7,Tomato
29.7,67.4,6.1,133.1,Tomato
22.6,68.9,6.8,103.6,Tomato
27.4,67.1,6.7,157.9,Tomato
24.4,61.2,6.2,103.7,Tomato
24.8,66.7,6.6,136.5,Tomato
25.0,72.3,6.4,174.4,Tomato
26.6,60.7,6.2,129.6,Tomato
24.4,68.6,6.6,118.5,Tomato
22.9,57.4,6.4,137.1,Tomato
25.5,58.8,6.6,127.7,Tomato
22.8,65.8,6.5,97.1,Tomato
20.9,77.8,5.8,111.1,Potato
16.6,70.3,5.7,100.3,Potato
21.3,94.3,5.7,112.7,Potato
22.4,78.3,5.4,105.2,Potato
18.1,73.8,5.4,91.6,Potato
25.8,65.7,5.7,57.7,Potato
18.8,80.4,5.5,68.4,Potato
18.2,78.4,5.3,94.3,Potato
20.1,71.7,6.1,102.7,Potato
14.9,75.9,5.3,107.0,Potato
18.0,74.4,5.7,107.3,Potato
17.0,73.3,5.4,76.9,Potato
24.4,77.0,5.1,108.4,Potato
25.3,80.2,5.0,80.3,Potato
23.2,71.5,5.6,105.5,Potato
17.7,74.7,4.5,69.5,Potato
19.4,68.8,6.0,61.4,Potato
18.9,75.7,5.9,61.3,Potato
22.9,75.1,5.2,99.2,Potato
20.5,72.0,5.5,82.3,Potato
20.3,78.3,6.0,65.2,Potato
25.3,65.2,5.5,101.8,Potato
20.7,71.9,5.4,80.1,Potato
18.5,79.2,5.6,76.1,Potato
22.2,76.5,5.7,102.6,Potato
17.9,72.2,5.7,102.2,Potato
19.9,75.6,5.9,78.2,Potato
21.4,74.0,5.4,112.0,Potato
22.1,79.1,5.9,90.4,Potato
21.7,73.4,5.6,87.4,Potato
20.2,78.0,5.3,131.8,Potato
17.5,68.9,5.8,105.8,Potato
21.6,78.1,5.5,72.1,Potato
20.2,71.6,5.8,87.1,Potato
17.9,73.4,5.6,78.7,Potato
17.9,76.2,5.6,79.9,Potato
18.8,76.2,5.1,61.9,Potato
18.2,73.9,5.6,119.5,Potato
22.1,74.2,5.5,69.9,Potato
20.0,73.6,5.6,73.5,Potato
21.3,82.7,5.5,98.0,Potato
21.7,73.0,5.6,90.3,Potato
20.2,71.1,5.5,100.0,Potato
23.6,79.8,6.1,74.7,Potato
22.2,75.9,6.2,73.8,Potato
17.9,72.0,4.9,79.5,Potato
18.1,75.8,5.6,127.5,Potato
22.4,72.1,5.2,99.8,Potato
16.7,84.2,5.9,80.6,Potato
15.7,81.8,5.5,114.8,Potato
24.0,77.0,6.0,200.9,Rice
26.9,83.1,5.7,197.2,Rice
28.3,82.6,6.2,177.5,Rice
24.2,86.4,6.1,185.0,Rice
31.9,80.6,6.4,201.4,Rice
33.2,88.8,5.9,219.4,Rice
29.6,86.8,5.7,213.7,Rice
30.6,71.2,5.6,159.2,Rice
27.3,83.6,6.5,201.5,Rice
32.1,73.1,5.5,198.9,Rice
29.0,79.8,5.4,198.2,Rice
24.7,83.3,6.1,181.2,Rice
26.7,74.7,6.0,219.1,Rice
25.5,82.5,5.8,184.1,Rice
27.7,74.8,5.8,176.0,Rice
32.9,80.2,5.8,204.3,Rice
27.7,78.9,6.2,215.2,Rice
26.7,77.1,5.9,154.0,Rice
24.2,86.8,6.5,195.0,Rice
29.4,81.6,6.9,222.4,Rice
27.7,75.2,5.5,204.1,Rice
26.1,72.9,5.8,178.4,Rice
32.2,84.4,6.0,229.6,Rice
28.2,75.7,6.5,210.8,Rice
25.4,79.0,5.7,172.3,Rice
30.3,89.5,5.6,211.3,Rice
26.4,77.6,5.8,182.7,Rice
28.1,75.8,6.1,199.0,Rice
27.4,75.5,5.8,215.1,Rice
29.3,75.1,6.0,215.0,Rice
23.8,82.7,5.8,211.4,Rice
26.1,71.0,5.5,201.0,Rice
28.6,75.5,6.2,166.8,Rice
27.8,73.9,5.8,200.9,Rice
25.8,78.1,6.3,188.5,Rice
30.1,74.4,6.2,228.8,Rice
21.8,76.0,6.2,195.9,Rice
28.9,77.0,6.0,196.9,Rice
30.9,81.3,6.1,191.8,Rice
26.8,77.8,6.1,191.6,Rice
28.7,90.4,6.3,193.5,Rice
31.0,78.0,5.4,179.8,Rice
23.3,78.2,6.0,233.5,Rice
28.8,78.9,6.2,155.8,Rice
28.6,83.9,5.6,222.9,Rice
28.8,77.9,6.2,245.4,Rice
28.5,81.2,5.9,183.0,Rice
30.1,75.7,6.0,190.4,Rice
29.2,81.7,6.3,189.8,Rice
27.3,75.1,5.9,207.5,Rice
28.9,70.4,6.8,177.1,Banana
28.0,84.4,6.3,125.1,Banana
22.6,82.5,6.7,148.9,Banana
27.7,69.4,7.2,152.6,Banana
27.3,78.6,6.6,154.5,Banana
25.0,77.4,7.1,176.9,Banana
31.0,72.4,6.2,147.5,Banana
27.1,80.5,6.0,180.6,Banana
26.6,72.9,6.2,116.9,Banana
29.1,75.4,6.1,124.1,Banana
26.2,83.3,6.4,119.9,Banana
26.4,73.6,5.7,148.9,Banana
26.4,78.5,7.1,172.5,Banana
26.3,69.5,7.3,151.2,Banana
27.0,74.9,6.6,147.1,Banana
25.6,72.3,6.5,139.1,Banana
25.2,75.5,6.4,180.1,Banana
20.4,80.5,6.9,108.5,Banana
26.1,73.1,6.1,134.4,Banana
24.2,83.8,6.8,175.4,Banana
28.8,69.4,6.3,159.8,Banana
23.9,78.6,6.4,142.5,Banana
28.8,77.2,6.4,173.2,Banana
24.3,78.1,6.7,143.8,Banana
27.8,68.7,6.8,146.3,Banana
25.7,80.2,6.3,121.8,Banana
23.1,78.0,6.1,185.1,Banana
21.8,83.5,6.6,148.1,Banana
25.6,77.0,6.5,172.1,Banana
27.3,75.8,6.4,148.9,Banana
27.8,66.4,6.1,164.9,Banana
27.4,74.1,6.5,157.0,Banana
25.7,71.1,6.6,130.4,Banana
28.0,66.5,6.8,159.5,Banana
